Accounts_All;CN=AccountsPayable,ou=Groups;AccountsPayable
Accounts_All;CN=AccountsReceivable,ou=Groups;AccountsReceivable
DEV_All;CN=DEV_Internal,ou=Groups;DEV_Internal
DEV_All;CN=DEV_Mgmt,ou=Groups;DEV_Mgmt
DEV_All;CN=DEV_Projects,ou=Groups;DEV_Projects
DEV_All;CN=DEV_Stage,ou=Groups;DEV_Stage
DEV_Projects;CN=DEV_WestCoast,ou=Groups;DEV_WestCoast
DEV_Projects;CN=DEV_EastCoast,ou=Groups;DEV_EastCoast
DEV_Projects;CN=DEV_Europe,ou=Groups;DEV_Europe
DEV_Europe;CN=ENG_All,ou=Groups;ENG_All
ENG_All;CN=DEV_All,ou=Groups;DEV_All
ENG_All;CN=ENG_Internal,ou=Groups;ENG_Internal
ENG_All;CN=ENG_Mgmt,ou=Groups;ENG_Mgmt
ENG_All;CN=ENG_Prod,ou=Groups;ENG_Prod
ENG_All;CN=ENG_Stage,ou=Groups;ENG_Stage
ENG_Prod;CN=ENG_WestCoast,ou=Groups;ENG_WestCoast
ENG_Prod;CN=ENG_EastCoast,ou=Groups;ENG_EastCoast
ENG_Prod;CN=ENG_External,ou=Groups;ENG_External
HR_All;CN=HR_External,ou=Groups;HR_External
HR_All;CN=HR_Internal,ou=Groups;HR_Internal
Payroll_All;CN=PayrollAnalysis,ou=Groups;PayrollAnalysis
Payroll_All;CN=PayrollControls,ou=Groups;PayrollControls
Payroll_All;CN=PayrollManager,ou=Groups;PayrollManager
Payroll_All;CN=PayrollProjects,ou=Groups;PayrollProjects
PayrollProjects;CN=PayrollManager,ou=Groups;PayrollManager
PCI_All;CN=PCI_General,ou=Groups;PCI_General
PCI_All;CN=PCI_Admin,ou=Groups;PCI_Admin
PCI_All;CN=PCI_Mgmt,ou=Groups;PCI_Mgmt
PCI_General;CN=PCI_Mgmt,ou=Groups;PCI_Mgmt
customerDataCenter;CN=James Smith,ou=Austin,ou=Americas;JamesSmith
HostingVPN;CN=James Smith,ou=Austin,ou=Americas;JamesSmith
All_Users;CN=James Smith,ou=Austin,ou=Americas;JamesSmith
DataComm;CN=Mary Johnson,ou=Austin,ou=Americas;MaryJohnson
DBAs;CN=Mary Johnson,ou=Austin,ou=Americas;MaryJohnson
GlobalComm;CN=Mary Johnson,ou=Austin,ou=Americas;MaryJohnson
HelpDesk;CN=Mary Johnson,ou=Austin,ou=Americas;MaryJohnson
SysAdministration;CN=Mary Johnson,ou=Austin,ou=Americas;MaryJohnson
TCOMControls;CN=Mary Johnson,ou=Austin,ou=Americas;MaryJohnson
Telecom;CN=Mary Johnson,ou=Austin,ou=Americas;MaryJohnson
UnixAdministration;CN=Mary Johnson,ou=Austin,ou=Americas;MaryJohnson
All_Users;CN=Mary Johnson,ou=Austin,ou=Americas;MaryJohnson
WindowsAdministration;CN=Mary Johnson,ou=Austin,ou=Americas;MaryJohnson
DataArchive;CN=Robert Brown,ou=Austin,ou=Americas;RobertBrown
DBAs;CN=Robert Brown,ou=Austin,ou=Americas;RobertBrown
SecurityAnalysis;CN=Robert Brown,ou=Austin,ou=Americas;RobertBrown
All_Users;CN=Robert Brown,ou=Austin,ou=Americas;RobertBrown
campusAccess;CN=Joseph Thompson,ou=Austin,ou=Americas;JosephThompson
DBAs;CN=Joseph Thompson,ou=Austin,ou=Americas;JosephThompson
All_Users;CN=Joseph Thompson,ou=Austin,ou=Americas;JosephThompson
DBAs;CN=Margaret Garcia,ou=Austin,ou=Americas;MargaretGarcia
HostingVPN;CN=Margaret Garcia,ou=Austin,ou=Americas;MargaretGarcia
Remote;CN=Margaret Garcia,ou=Austin,ou=Americas;MargaretGarcia
All_Users;CN=Margaret Garcia,ou=Austin,ou=Americas;MargaretGarcia
DBAs;CN=Thomas Martinez,ou=Austin,ou=Americas;ThomasMartinez
All_Users;CN=Thomas Martinez,ou=Austin,ou=Americas;ThomasMartinez
VendorCare;CN=Thomas Martinez,ou=Austin,ou=Americas;ThomasMartinez
customerDataCenter;CN=Dorothy Robinson,ou=Austin,ou=Americas;DorothyRobinson
DBAs;CN=Dorothy Robinson,ou=Austin,ou=Americas;DorothyRobinson
InternalAudit;CN=Dorothy Robinson,ou=Austin,ou=Americas;DorothyRobinson
All_Users;CN=Dorothy Robinson,ou=Austin,ou=Americas;DorothyRobinson
DBAs;CN=Christopher Clark,ou=Austin,ou=Americas;ChristopherClark
ServerRoomToken;CN=Christopher Clark,ou=Austin,ou=Americas;ChristopherClark
All_Users;CN=Christopher Clark,ou=Austin,ou=Americas;ChristopherClark
SecCompliance;CN=Linda Davis,ou=Austin,ou=Americas;LindaDavis
SecurityAnalysis;CN=Linda Davis,ou=Austin,ou=Americas;LindaDavis
ServerRoomToken;CN=Linda Davis,ou=Austin,ou=Americas;LindaDavis
All_Users;CN=Linda Davis,ou=Austin,ou=Americas;LindaDavis
